subject,grade,topic,subtopic_az,rub,questions,subtopic_en,subtopic_ru
Fizika,9,Fiziki kəmiyyətlər və mexanika,Nyuton qanunları,1,5,,
Fizika,9,"İstilik, dalğalar və optika",Elektromaqnit induksiyası,3,5,,
Fizika,9,"İstilik, dalğalar və optika",Elektromaqnit rəqsləri,3,5,,
Fizika,9,"İstilik, dalğalar və optika",Faradey qanunu,3,5,,
Fizika,9,"İstilik, dalğalar və optika",İdeal qaz,3,6,,
Fizika,9,"İstilik, dalğalar və optika",Kvant fizikası,3,5,,
Fizika,9,"İstilik, dalğalar və optika",Lorens qüvvəsi,3,5,,
Fizika,9,"İstilik, dalğalar və optika",Qaz tənlikləri və qaz qanunları,3,7,,
Fizika,9,"İstilik, dalğalar və optika",Termodinamikanın birinci qanunu,3,6,,
Fizika,9,"İstilik, dalğalar və optika",Termodinamikanın ikinci qanunu,3,6,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Abstraksiya,3,4,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Ağac informasiya modelləri,3,7,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Alqoritm,3,5,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Alqoritmin effektivliyi və korrektliyi,3,4,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Alqoritmlərin qurulması,3,7,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,"Alqoritmlərin söz, işarə və blok-sxemlə təqdim edilməsi",3,6,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Alqoritmlərin təqdimetmə üsulları,3,6,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Budaqlanma,3,6,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Doğruluq cədvəlləri,3,7,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Dövr,3,6,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Fayllarla iş,3,4,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Formallaşdırma və modelləşdirmə,3,19,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Hərəkətlər və göstərişlər ardıcıllığı,3,5,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Hərflərin və sözlərin yazılması,3,5,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,İkilik axtarış,3,4,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,"Lokal, qlobal və formal dəyişənlər",3,4,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Mətn redaktoru,3,5,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Mülahizə və məntiqi ifadə,3,7,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Obyekt-yönlü proqramlaşdırma,3,3,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Obyektin qrafik formada təqdim edilməsi,3,6,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Obyektin sözlə təqdim edilməsi,3,5,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Öncə-dərinliyinə axtarış — DFS,3,4,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Öncə-eninə axtarış — BFS,3,3,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Oxşar və fərqli əlamətlər,3,5,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Parçalanma — dekompozisiya,3,6,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Proqram təminatı layihəsi,3,3,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Proqram təminatının sənədləşdirilməsi,3,3,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Proqram və proqram simgəsi,3,5,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Proqramın təhlili və layihələndirilməsi,3,3,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Proqramlaşdırma mühitində icraçı,3,6,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Qrafik redaktor,3,5,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Sadə proqramlaşdırma,3,7,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Sadə şəkillər və həndəsi fiqurlar,3,5,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Seçməli və qabarcıqlı çeşidləmə,3,4,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Şərt və mürəkkəb şərt,3,6,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Səs redaktoru və səs faylı,3,7,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,"Sətir, siyahı, massiv, stek, növbə və lüğət",3,4,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,"Şrift, şriftin ölçüsü və rəngi",3,5,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Təkrarlardan istifadə edilən alqoritmlər,3,6,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Veb-sayt və sayt konstruktoru,3,6,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,"Verilənlər bazasında cədvəl, sahə və yazı",3,7,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,"VƏ, VƏYA və DEYİL məntiqi əməlləri",3,7,,
İnformatika,9,Alqoritmlər və proqramlaşdırma,Xətti və budaqlanan alqoritmlər,3,6,,
İnformatika,9,İnformasiya və kompüter sistemləri,Ağıllı ev,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,ASCII və Unicode,1,6,,
İnformatika,9,İnformasiya və kompüter sistemləri,Bulud saxlama vasitələri,1,5,,
İnformatika,9,İnformasiya və kompüter sistemləri,Cədvəl informasiya modelləri,1,7,,
İnformatika,9,İnformasiya və kompüter sistemləri,"CREATE, INSERT, UPDATE və DELETE sorğuları",1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,Dizüstü kompüter,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,Elektron cədvəllərdə məntiqi funksiyalar,1,7,,
İnformatika,9,İnformasiya və kompüter sistemləri,Ədədi orta,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,Hartli və Şennon düsturları,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,İkilik say sistemi,1,6,,
İnformatika,9,İnformasiya və kompüter sistemləri,İnformasiya mənbəyi və informasiya qəbuledicisi,1,22,,
İnformatika,9,İnformasiya və kompüter sistemləri,İnformasiyanın miqdarı,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,İnformasiyanın müxtəlif formalarda təqdim edilməsi,1,5,,
İnformatika,9,İnformasiya və kompüter sistemləri,İnformasiyanın ötürülmə üsulları,1,25,,
İnformatika,9,İnformasiya və kompüter sistemləri,İnformasiyanın saxlanması və ötürülməsi,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,"İnformasiyanın saxlanması, ötürülməsi və emalı",1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,İnformasiyanın toplanması və emalı,1,5,,
İnformatika,9,İnformasiya və kompüter sistemləri,"İnformasiyanın vizual, səs, qoxu, dad və taktil növləri",1,5,,
İnformatika,9,İnformasiya və kompüter sistemləri,İnformasiyanın xassələri,1,5,,
İnformatika,9,İnformasiya və kompüter sistemləri,"Kağız, maqnit və optik informasiya daşıyıcıları",1,5,,
İnformatika,9,İnformasiya və kompüter sistemləri,"Kod, kodlaşdırma və dekodlaşdırma",1,21,,
İnformatika,9,İnformasiya və kompüter sistemləri,Kodlaşdırılmış informasiyanın oxunması,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,Kompüter qurğuları,1,5,,
İnformatika,9,İnformasiya və kompüter sistemləri,Kompüter qurğuları və onların təyinatı,1,5,,
İnformatika,9,İnformasiya və kompüter sistemləri,Kompüter və digər elektron cihazlar,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,Kompüter yaddaşı və informasiya daşıyıcıları,1,6,,
İnformatika,9,İnformasiya və kompüter sistemləri,Kompüterin giriş qurğuları,1,23,,
İnformatika,9,İnformasiya və kompüter sistemləri,Kompüterlərin nəsilləri,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,Kütləvi informasiya vasitələri,1,24,,
İnformatika,9,İnformasiya və kompüter sistemləri,Masaüstü kompüter,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,Median,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,"Məlumat, xəbər və informasiya",1,5,,
İnformatika,9,İnformasiya və kompüter sistemləri,"Mətn, cədvəl, şəkil və diaqram",1,5,,
İnformatika,9,İnformasiya və kompüter sistemləri,Mətnin kodlaşdırılması,1,6,,
İnformatika,9,İnformasiya və kompüter sistemləri,Məzmun və əlifba yanaşması,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,Moda,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,Monitor,1,3,,
İnformatika,9,İnformasiya və kompüter sistemləri,Onaltılıq say sistemi,1,7,,
İnformatika,9,İnformasiya və kompüter sistemləri,Rastr informasiyanın kodlaşdırılması,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,Rastr və vektor qrafikası,1,8,,
İnformatika,9,İnformasiya və kompüter sistemləri,"Rebus, şəkil və şərti işarələr",1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,Relyasiyalı verilənlər bazası,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,Rəng dərinliyi və RGB,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,Rəng modelləri,1,8,,
İnformatika,9,İnformasiya və kompüter sistemləri,Say sistemləri,1,8,,
İnformatika,9,İnformasiya və kompüter sistemləri,Səs və videoinformasiyanın həcmi,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,Səs və videonun kodlaşdırılması,1,8,,
İnformatika,9,İnformasiya və kompüter sistemləri,Sistem bloku,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,SQL,1,4,,
İnformatika,9,İnformasiya və kompüter sistemləri,"Tamlıq, aktuallıq, anlaşıqlılıq, obyektivlik və etibarlılıq",1,5,,
İnformatika,9,İnformasiya və kompüter sistemləri,Verilənlər bazası və verilənlər bazası cədvəlləri,1,7,,
İnformatika,9,İnformasiya və kompüter sistemləri,Verilənlər yığını,1,11,,
İnformatika,9,İnformasiya və kompüter sistemləri,Verilənlərin cədvəl və diaqramla təqdim edilməsi,1,5,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Ağıllı şəhər,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Antivirus proqramları,2,6,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Artırılmış reallıq,2,7,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər","Baş menyu, proqram menyusu və kontekst menyusu",2,5,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Blok-sxem və psevdokod,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Düzgün oturuş və müntəzəm fasilə,2,5,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Elektron cədvəl proqramı,2,6,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Elektron cədvəllər,2,13,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Elektron cədvəllərdə riyazi funksiyalar,2,7,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Əməliyyat sistemi,2,13,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Əməliyyat sistemlərinin təsnifatı,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Əşyaların interneti,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Fayl və qovluq,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Fayl və qovluqlar üzərində əməliyyatlar,2,5,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Fayl və qovluqların idarə edilməsi,2,7,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",İş masası və onun elementləri,2,5,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Klaviatura,2,5,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Kompüter modeli,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Kompüter otağında davranış və texniki təhlükəsizlik,2,5,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Kompüter qurğuları və multimedia qurğuları,2,7,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Kompüter şəbəkələri,2,6,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Kompüter şəbəkəsinin layihələndirilməsi,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Kompüterin çıxış qurğuları,2,5,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Kompüterin işə salınması və söndürülməsi,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Kriptoqrafiyanın əsasları,2,7,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Məntiq cəbri,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Məntiqi ifadələr və doğruluq cədvəli,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Mətn sənədinin yaradılması və redaktəsi,2,5,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər","Mətn, qrafika və multimedia",2,6,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər","Mətn, qrafika və təqdimat materialları",2,6,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Mətnin sadə formatlaşdırılması,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Mülahizə,2,7,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Planşet və smartfon,2,5,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Proqram pəncərəsi və onun elementləri,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Qrafik redaktorda mürəkkəb şəkillər,2,5,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Qrafik redaktorda şəkillərin hazırlanması,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Reqressiya modeli,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Robot sistemləri,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Sensorlar və NFC,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Siçan,2,5,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Sistem proqram təminatı,2,6,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Təqdimat proqramı,2,6,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Tətbiqi proqram təminatı,2,6,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər","Tətbiqi, sistem və aparat təminatı",2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Trend əyrisi,2,4,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Verilənlər bazası,2,7,,
İnformatika,9,"Rəqəmsal alətlər, media və verilənlər",Virtual reallıq,2,7,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar","“İrəli”, “geri”, “sağa” və “sola” komandaları",4,5,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Addım-addım göstərişlər,4,5,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Alqoritmlərdə şərt və dövr,4,7,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Biometrik təhlükəsizlik,4,6,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Budaqlanan alqoritm,4,5,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Elektron hökumət,4,4,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Elektron poçt,4,7,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Elektron poçt və qoşma fayl,4,6,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Hadisələr və hərəkətlər ardıcıllığı,4,5,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Haker hücumları və kibercinayətkarlıq,4,4,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",İcraçı və icraçının komandaları,4,5,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",İnformasiya texnologiyalarının tətbiq sahələri,4,5,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",İnformasiya təhlükəsizliyi,4,12,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",İnternet bağlantısı,4,6,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",İnternet və brauzer,4,6,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",İstifadəçi adı və parol,4,6,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",JavaScript və interaktiv veb-səhifələr,4,4,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Kriptovalyuta,4,3,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Məntiqi məsələlərin həll alqoritmi,4,7,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Müəlliflik hüququ və rəqəmsal davranış,4,7,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Parol və giriş məlumatlarının qorunması,4,5,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Proqram kodunun keyfiyyəti,4,3,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Proqram təminatı piratçılığı və müəlliflik hüququ,4,3,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Proqramdakı yanlışlıqların müəyyən edilməsi,4,5,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Proqramlaşdırma dillərinin müqayisəsi,4,3,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Proqramlaşdırmada dəyişənlər və şərtlər,4,7,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Proqramlaşdırmada siyahılar və verilənlər,4,7,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Prosedur və funksiya,4,6,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Qrafik kitabxanalar,4,4,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Rekursiya,4,4,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Sayt və elektron poçt,4,6,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Şəbəkə və internet,4,5,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Şəbəkə və internet təhlükəsizliyi,4,7,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Şəxsi məlumatlar,4,6,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Şəxsi məlumatların mühafizəsi,4,7,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar","Sinif, obyekt, xassə və metod",4,3,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Spam və internet fırıldaqçılığı,4,6,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Veb-saytın qiymətləndirilməsi,4,3,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Veb-saytın strukturu,4,6,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar","Veb-server, domen və hostinq",4,3,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Verilənlər bazasının proqramlaşdırılması,4,4,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Verilənlərin ehtiyat üzünün yaradılması,4,5,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Xətti alqoritm,4,5,,
İnformatika,9,"Şəbəkə, təhlükəsizlik və yeni texnologiyalar",Ziyanverici proqramlar,4,6,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Ailə və məktəblə bağlı sözlər,2,9,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Cümlələrin düzgün intonasiya ilə tələffüzü,2,8,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Cümlələrin və nitq etiketlərinin düzgün tələffüzü,2,8,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Fikrin müxtəlif formalarda ifadə edilməsi,2,9,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Kiçikhəcmli dialoqlar,2,9,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Kiçikhəcmli mətnlərin danışılması,2,8,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Kiçikhəcmli nitq nümunələrinin tələffüzü,2,8,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Mənzil və yaşayış yeri ilə bağlı sözlər,2,9,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Mətndə yeni sözlərin müəyyən edilməsi,2,8,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,"Mətnin giriş, əsas hissə və nəticəyə ayrılması",2,8,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,"Mətnin ton, temp, ritm və fasilə ilə oxunması",2,8,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Mövzu üzrə fikirlərin ifadə edilməsi,2,8,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Müxtəlif mövzulu dialoqlar,2,9,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Sadə cümlələrin tələffüzü,2,8,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Sadə sözlərin tələffüzü,2,8,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Səs və səs birləşmələrinin təkrarı,2,8,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Söz birləşmələri və sadə cümlələrin tələffüzü,2,9,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Söz və ifadələrin seçilməsi və qruplaşdırılması,2,8,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Söz və söz birləşmələrinin tələffüzü,2,8,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Sözlərin morfoloji xüsusiyyətlərinə görə qruplaşdırılması,2,8,,
İngilis dili,9,Danışma və qarşılıqlı ünsiyyət,Zaman və məkan anlayışları,2,9,,
İngilis dili,9,Dinləyib-anlama,Adı eşidilən əşyaların şəkillərdə seçilməsi,1,8,,
İngilis dili,9,Dinləyib-anlama,Dialoqlarda nitq etiketləri,1,6,,
İngilis dili,9,Dinləyib-anlama,Dinlənilən mətn üzrə sadə tapşırıqlar,1,8,,
İngilis dili,9,Dinləyib-anlama,Dinlənilən mətndə əsas fikrin müəyyən edilməsi,1,7,,
İngilis dili,9,Dinləyib-anlama,Dinlənilən mətndə yeni informasiyanın müəyyən edilməsi,1,9,,
İngilis dili,9,Dinləyib-anlama,Dinlənilən mətndə yeni söz və ifadələrin seçilməsi,1,8,,
İngilis dili,9,Dinləyib-anlama,Əşya və hadisələrin əlamətlərinə görə fərqləndirilməsi,1,8,,
İngilis dili,9,Dinləyib-anlama,Əşya və hadisələrin şəkillərdə seçilməsi,1,9,,
İngilis dili,9,Dinləyib-anlama,Əşyaların əlamətlərinə görə fərqləndirilməsi,1,8,,
İngilis dili,9,Dinləyib-anlama,Kiçikhəcmli sadə mətnlərin dinlənilməsi,1,8,,
İngilis dili,9,Dinləyib-anlama,Mətn üzrə sualların tərtib edilməsi,1,9,,
İngilis dili,9,Dinləyib-anlama,Müraciətlərə uyğun tapşırıqların icrası,1,6,,
İngilis dili,9,Dinləyib-anlama,Müraciətlərin başa düşülməsi,1,8,,
İngilis dili,9,Dinləyib-anlama,Nitq etiketlərinin fərqləndirilməsi,1,9,,
İngilis dili,9,Dinləyib-anlama,Nitq modelləri,1,6,,
İngilis dili,9,Dinləyib-anlama,Sadə müraciətlərin başa düşülməsi,1,9,,
İngilis dili,9,Dinləyib-anlama,Sadə sualların cavablandırılması,1,9,,
İngilis dili,9,Dinləyib-anlama,Sinifdaxili müraciətlərin başa düşülməsi,1,8,,
İngilis dili,9,Dinləyib-anlama,Söz və ifadələrin leksik-semantik mənası,1,8,,
İngilis dili,9,Dinləyib-anlama,Tapşırıq xarakterli müraciətlərin başa düşülməsi,1,8,,
İngilis dili,9,Dinləyib-anlama,Yeni söz və ifadələrdən istifadə,1,8,,
İngilis dili,9,Dinləyib-anlama,Yeni sözlərin mövzuya uyğun işlədilməsi,1,8,,
İngilis dili,9,Oxu və mətnlə iş,Əşya və hadisələrə münasibət bildirilməsi,3,8,,
İngilis dili,9,Oxu və mətnlə iş,Əşya və hadisələrin təsviri,3,13,,
İngilis dili,9,Oxu və mətnlə iş,"Əşya, hadisə və situasiyaların təsviri",3,8,,
